,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
1,Los Angeles Lakers,,,,,96.4,,,,,,,,,,,,,,,,,,,,,
2,San Antonio Spurs,82,53,29,48.4,97,32.5,70.3,7.5,6.7,15.5,13.3,11.8,35.3,,,,,,,,,,,,,
3,Phoenix Suns,82,53,29,48.3,97.3,31.2,67.6,9.1,5.3,17.4,14.1,12,36,,,,,,,,,,,,,
4,Philadelphia 76ers,82,49,33,48.4,98.2,30.1,68,9.6,4.7,15.1,12.7,12.7,37.2,,,,,,,,,,,,,
5,New York Knicks,82,50,32,48.4,99.4,30.7,69.9,6.3,4.3,15.9,12.4,10.5,31.8,,,,,,,,,,,,,
6,Miami Heat,82,52,30,48.4,99.4,31.9,69.6,7.1,6.4,16,12.7,11.7,34.1,,,,,,,,,,,,,
7,Portland Trail Blazers,82,59,23,48.2,99.5,31.2,69.3,7.7,4.8,15.2,13.9,12.3,35,,,,,,,,,,,,,
8,Charlotte Hornets,82,49,33,48.2,99.6,32.1,71.2,8.9,5.9,15.9,13.4,14,39.8,,,,,,,,,,,,,
9,Orlando Magic,82,41,41,48.2,100.3,31,66.9,9.1,5.7,18.3,14.5,14.6,39.8,,,,,,,,,,,,,
10,Sacramento Kings,82,44,38,48.3,100.6,32.1,67.9,9.6,4.6,18.3,14.2,17,42.2,,,,,,,,,,,,,
11,Utah Jazz,82,55,27,48.2,101.1,29.6,69.8,7.7,5.4,15.7,12.3,10.3,32.6,,,,,,,,,,,,,
12,Minnesota Timberwolves,82,50,32,48.5,101.7,30.1,69.6,7.6,5.4,14.8,13.2,13.3,38.5,,,,,,,,,,,,,
13,Indiana Pacers,82,56,26,48.1,101.7,31.9,69.1,6.8,5.1,15,13.5,14.6,42,,,,,,,,,,,,,
14,Cleveland Cavaliers,82,32,50,48.4,102.2,30.5,68.5,8.7,4.4,19.5,14.5,13.2,37.7,,,,,,,,,,,,,
15,Chicago Bulls,82,17,65,48.3,102.7,28.3,67.6,7.9,4.7,21,12.9,13.4,39.1,,,,,,,,,,,,,
16,Toronto Raptors,82,45,37,48.2,102.8,29.9,68.6,8.1,6.6,14.9,13.4,18.1,40,,,,,,,,,,,,,
17,Seattle SuperSonics,82,45,37,48.2,103.1,30.3,67.3,8,4.2,14.8,15,13.2,40.3,,,,,,,,,,,,,
18,Detroit Pistons,82,42,40,48.4,103.8,30,69.4,8.1,3.3,17.4,14.3,12.7,37,,,,,,,,,,,,,
19,New Jersey Nets,82,31,51,48.4,103.9,28.2,65.7,8.8,4.8,14.8,15.3,15.6,43,,,,,,,,,,,,,
20,Boston Celtics,82,35,47,48.1,103.9,29.5,70.5,9.7,3.5,16.8,12.5,13.8,39.1,,,,,,,,,,,,,
21,Houston Rockets,82,34,48,48.4,104.2,31.5,69.1,7.5,5.3,19,14.3,14.5,42.3,,,,,,,,,,,,,
22,Denver Nuggets,82,35,47,48.4,104.5,31.6,68.8,6.8,7.5,17.8,14.2,15.2,42.2,,,,,,,,,,,,,
23,Washington Wizards,82,29,53,48.3,105.1,29.7,68.6,7.2,4.7,17.7,13.1,14.5,39.6,,,,,,,,,,,,,
24,Dallas Mavericks,82,40,42,48.1,105.2,29.8,64.7,7.2,5.1,15.5,16.8,15.2,42.9,,,,,,,,,,,,,
25,Atlanta Hawks,82,28,54,48.4,105.7,31.3,69.8,6.1,5.6,17.7,13.8,17,42.1,,,,,,,,,,,,,
26,Milwaukee Bucks,82,42,40,48.4,106.1,28.9,66.7,8.2,4.6,16.8,14.3,14.2,37,,,,,,,,,,,,,
27,Golden State Warriors,82,19,63,48.2,106.4,29.7,67.3,8.9,4.3,16.7,15.4,15.3,43.5,,,,,,,,,,,,,
28,Vancouver Grizzlies,82,22,60,48.4,106.7,28.3,67.9,7.4,4.2,19,13.9,16.5,43.7,,,,,,,,,,,,,
29,Los Angeles Clippers,82,15,67,48.1,108,29,67.4,7,6,18.7,15,15.6,48.8,,,,,,,,,,,,,
