,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
1,Indiana Pacers,,,,,99,,,,,,,,,,,,,,,,,,,,,
2,Memphis Grizzlies,82,56,26,48.3,99.1,29.8,70.2,8.6,5.3,14.9,11.9,12.4,38,,,,,,,,,,,,,
3,San Antonio Spurs,82,58,24,48.5,100.3,33.2,71.5,8.5,5.4,16.4,12.5,14.2,40,,,,,,,,,,,,,
4,Oklahoma City Thunder,82,60,22,48.4,101.2,33.2,70.2,8.3,7.6,16.7,13.6,12.5,40.7,,,,,,,,,,,,,
5,Washington Wizards,82,29,53,48.4,101.6,32.3,70.6,7.3,4.6,16.8,12.6,12,38.1,,,,,,,,,,,,,
6,Chicago Bulls,82,45,37,48.4,101.9,30.7,69.9,7.2,5.1,15.4,12.7,13.1,39.3,,,,,,,,,,,,,
7,Boston Celtics,81,41,40,49,102.6,31.3,69,8.2,4.5,16.9,14.2,12.1,42.7,,,,,,,,,,,,,
8,Los Angeles Clippers,82,56,26,48.1,102.8,30.2,69.7,9.6,5.6,16,13,12.3,37.2,,,,,,,,,,,,,
9,Miami Heat,82,66,16,48.5,103.2,30.4,67.8,8.7,5.4,15.7,14.7,11.9,39.9,,,,,,,,,,,,,
10,Atlanta Hawks,82,44,38,48.4,103.4,31.6,70.1,8.1,4.5,16.7,13.2,12,41,,,,,,,,,,,,,
11,Minnesota Timberwolves,82,31,51,48.1,104,30.2,70.2,8.5,4.7,16.5,12.7,14,42.3,,,,,,,,,,,,,
12,Denver Nuggets,82,57,25,48.5,104.1,31.7,67.5,9.3,6.5,17.3,14.8,12.2,40.7,,,,,,,,,,,,,
13,Golden State Warriors,82,47,35,48.3,104.2,34.2,71.2,6.9,4.2,17.3,13.9,13.8,40.4,,,,,,,,,,,,,
14,Milwaukee Bucks,82,38,44,48.4,104.2,30.9,67.8,8.4,6.7,16.8,14.6,15.1,46.2,,,,,,,,,,,,,
15,Philadelphia 76ers,82,34,48,48.2,104.7,30.4,69.5,7.4,4.7,14.5,12.2,12.5,40.2,,,,,,,,,,,,,
16,Brooklyn Nets,82,49,33,48.4,104.8,30,70.1,7.3,4.8,16.9,12.4,13.9,43.4,,,,,,,,,,,,,
17,Houston Rockets,82,45,37,48.2,105.3,32.3,71,8.3,4.4,18.4,12.6,14.2,41.9,,,,,,,,,,,,,
18,Dallas Mavericks,82,41,41,48.7,105.4,32.6,69.8,7.9,5.5,17.1,13.6,14,41.1,,,,,,,,,,,,,
19,New York Knicks,82,54,28,48.1,105.4,29.7,70.8,8.2,3.6,13.5,12.4,12.1,39.7,,,,,,,,,,,,,
20,Utah Jazz,82,43,39,48.5,105.5,30,69.7,8.4,6.3,16.9,12.5,13.4,42.6,,,,,,,,,,,,,
21,Los Angeles Lakers,82,45,37,48.2,105.9,33.3,70.2,7,5.2,16.7,13.8,15.9,44.1,,,,,,,,,,,,,
22,Toronto Raptors,82,34,48,48.7,106.4,29.6,68.8,7.3,4.8,15.5,13.1,11.9,42.5,,,,,,,,,,,,,
23,Phoenix Suns,82,25,57,48.3,106.8,29.9,68.7,8,5.3,18.6,13.5,14.9,45.6,,,,,,,,,,,,,
24,Detroit Pistons,82,29,53,48.3,107.2,30,69.5,7,4.9,17.8,13.5,13.5,42.9,,,,,,,,,,,,,
25,Portland Trail Blazers,82,33,49,48.4,107.9,30.2,70.2,6.6,4.3,17.2,13.4,14.6,47.4,,,,,,,,,,,,,
26,Cleveland Cavaliers,82,24,58,48.1,108.2,28.8,69.5,7.9,4.1,16.2,13.6,13.1,42.5,,,,,,,,,,,,,
27,Orlando Magic,82,20,62,48.2,108.3,31.9,70.7,6.4,4.4,16.8,12.7,12.6,42.8,,,,,,,,,,,,,
28,New Orleans Hornets,82,27,55,48.2,108.9,29.6,70.5,6.3,5.4,17.3,12.8,13.2,43.2,,,,,,,,,,,,,
29,Sacramento Kings,82,28,54,48.4,110,29.1,67.3,8.2,4.2,17.6,14.2,16.7,45.2,,,,,,,,,,,,,
30,Charlotte Bobcats,82,21,61,48.3,110.3,29.1,67.9,7.2,5.8,17,14,13.8,43.9,,,,,,,,,,,,,
